seed,initial_reward,best_reward,final_reward
0,-506.8918545440194,-8.07441957600625,-14.3479809355833
1,-2432.622492545531,-9.181429727938639,-11.885899089504239
2,-398.65405227951555,-8.372476036832275,-11.114864332576717
3,-28991.64586954077,-193.75012947525298,-193.75012947525298
4,-35032.868689471274,-9.647659576644696,-15.208181935943022
