seed,initial_reward,best_reward,final_reward
0,-11.207706003392797,-10.818686663324131,-13.91963515060586
1,-16.227428472209027,-12.940452318615206,-13.367460369024517
2,-20.610711089979194,-19.927436725860716,-21.64537391623645
