seed,initial_reward,best_reward,final_reward
0,-10.898093649710415,-9.348944011752156,-9.348944011752156
1,-14.649486091619849,-14.649486091619849,-16.203578527194008
2,-22.778227004716726,-15.818863265991444,-16.260241570486148
