seed,initial_reward,best_reward,final_reward
0,-12.099464190255219,-10.780351671460396,-11.878921005268461
1,-15.3079910978323,-12.83256265479898,-13.712508767000108
2,-21.021617686605975,-20.02526671487798,-25.42628848454636
