seed,initial_reward,best_reward,final_reward
0,-11.412190385789014,-9.816419447077028,-10.247800709654637
1,-13.761972590952533,-10.490273891354194,-12.578808569136877
2,-20.399161937512833,-11.209626494629081,-11.209626494629081
3,-12.803205541468504,-8.551506226379981,-11.021779288061376
4,-13.713513012175827,-10.363633504037029,-10.933403649695624
