seed,initial_reward,best_reward,final_reward
0,-11.777874161317579,-9.542414949250674,-11.807466971887939
1,-15.739495559619417,-11.513390062528957,-13.359104537749806
2,-20.28112070843798,-9.97781249006616,-11.786714556426205
3,-14.174302258489154,-8.879234168891912,-10.919224151978435
4,-14.335580486533862,-9.423285889557345,-11.460278846374033
