seed,initial_reward,best_reward,final_reward
0,-11.616927348836413,-9.172821089119543,-12.376125097522163
1,-17.721766930086513,-10.147099277937942,-11.222171412852097
2,-20.29771410006407,-7.495721032868474,-7.495721032868474
