seed,initial_reward,best_reward,final_reward
0,-595.0352412771571,-12.023617946775458,-18.948825649999122
1,-2325.1898144540255,-12.974958572335103,-12.974958572335103
2,-379.33014237672614,-6.3493307485979935,-10.366658366186183
3,-29742.195445190613,-11.14204761886227,-11.652497617892724
5,-10.122648814824588,-9.849173998963192,-11.934598599733594
