seed,initial_reward,best_reward,final_reward
0,-11.200293679398266,-9.661045260420611,-13.077634169769505
1,-14.603627935691463,-11.820607482097913,-11.820607482097913
2,-20.738330262609846,-11.361326165624984,-11.583458749981762
3,-13.196838675597713,-8.770977625891407,-10.345481598333535
4,-13.935301108441971,-9.857773757886168,-11.108626316009293
